X1,file,avot_phone,avot_onset,avot_offset,word,word_onset,word_offset,phone,phone_onset,phone_offset,prev_phone,prev_phone_onset,prev_phone_offset,next_phone,next_phone_onset,next_phone_offset,prev_word,prev_word_onset,prev_word_offset
0,VF19A_Cantonese_I2_20181114,t,77.401,77.421,天天,77.356,77.866,t,77.356,77.476,sp,74.028,77.356,i1,77.476,77.566,萬事如意,71.238,74.028
1,VF19A_Cantonese_I2_20181114,p,108.549,108.779,潘,108.517,108.927,p,108.517,108.767,sp,105.378,108.517,u1,108.767,108.887,進步,104.178,105.378
2,VF19A_Cantonese_I2_20181114,t,137.96,138.011,頭髮,137.91,138.45,t,137.91,138,e3,137.84,137.91,a4,138,138.11,嘅,137.76,137.91
3,VF19A_Cantonese_I2_20181114,k,139.56,139.594,個,139.5,139.64,k,139.5,139.58,sp,139.22,139.5,eo5,139.58,139.61,um,138.84,139.22
4,VF19A_Cantonese_I2_20181114,t,139.714,139.74,枱,139.64,139.86,t,139.64,139.74,o3,139.61,139.64,o2,139.74,139.79,個,139.5,139.64
5,VF19A_Cantonese_I2_20181114,t,146.205,146.266,糖,146.159,146.639,t,146.159,146.259,sp,145.709,146.159,o2,146.259,146.489,袋,144.919,145.709
6,VF19A_Cantonese_I2_20181114,k,159.683,159.74,佢,159.646,159.846,k,159.646,159.726,n,159.566,159.646,eo5,159.726,159.776,問,159.326,159.646
7,VF19A_Cantonese_I2_20181114,p,181.036,181.147,婆婆,180.992,181.592,p,180.992,181.132,sp,180.472,180.992,o4,181.132,181.282,佢,180.012,180.472
8,VF19A_Cantonese_I2_20181114,k,195.949,195.989,佢,195.894,196.014,k,195.894,195.974,sp,193.662,195.894,eo5,195.974,196.014,呢,193.492,193.662
9,VF19A_Cantonese_I2_20181114,k,209.744,209.847,佢,209.702,209.942,k,209.702,209.832,sp,207.492,209.702,eo5,209.832,209.942,呢,207.302,207.492
10,VF19A_Cantonese_I2_20181114,p,228.19,228.307,婆婆,228.152,228.792,p,228.152,228.292,sp,228.042,228.152,o4,228.292,228.432,係,227.552,228.042
11,VF19A_Cantonese_I2_20181114,t,234.701,234.797,糖,234.646,234.966,t,234.646,234.786,i1,234.586,234.646,o2,234.786,234.876,啲,234.516,234.646
12,VF19A_Cantonese_I2_20181114,t,239.151,239.247,糖,239.102,239.422,t,239.102,239.232,i1,239.012,239.102,o2,239.232,239.312,啲,238.962,239.102
13,VF19A_Cantonese_I2_20181114,p,241.604,241.671,婆婆,241.562,241.962,p,241.562,241.662,sp,241.102,241.562,o4,241.662,241.782,佢,240.792,241.102
14,VF19A_Cantonese_I2_20181114,t,253.79,253.86,糖,253.746,254.036,t,253.746,253.846,n,253.696,253.746,o2,253.846,253.906,同,253.596,253.746
15,VF19A_Cantonese_I2_20181114,k,258.425,258.527,佢,258.384,258.674,k,258.384,258.514,sp,254.216,258.384,eo5,258.514,258.614,呢,254.036,254.216
16,VF19A_Cantonese_I2_20181114,k,297.392,297.459,佢,297.324,297.514,k,297.324,297.444,sp,296.884,297.324,eo5,297.444,297.514,香港,296.344,296.884
17,VF19A_Cantonese_I2_20181114,t,331.035,331.085,通常,330.97,331.43,t,330.97,331.07,sp,330.8,330.97,u1,331.07,331.13,k,330.66,330.8
18,VF19A_Cantonese_I2_20181114,k,331.468,331.545,傾計,331.43,331.77,k,331.43,331.53,ng,331.39,331.43,e1,331.53,331.56,通常,330.97,331.43
19,VF19A_Cantonese_I2_20181114,t,334.192,334.207,去,334.09,334.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,VF19A_Cantonese_I2_20181114,p,335.97,336.031,婆婆,335.89,336.4,p,335.89,336.02,aa4,335.84,335.89,o4,336.02,336.14,呀,335.84,335.89
21,VF19A_Cantonese_I2_20181114,p,367.549,367.65,平時,367.51,367.89,p,367.51,367.64,i,367.47,367.51,i4,367.64,367.71,去,367.38,367.51
