talker,language,segment,following_vowel,vot_ms,is_post_pausal,avg_phone_dur_ms,word
VF19A,Cantonese,k,eo5,67,TRUE,41,佢
VF19A,Cantonese,t,u1,50,TRUE,66,通常
VF19A,Cantonese,k,e1,77,FALSE,50,傾計
VF19A,Cantonese,p,o4,61,FALSE,107,婆婆
VF19A,Cantonese,p,i4,101,FALSE,68,平時
VF19A,Cantonese,k,eo5,65,FALSE,30,佢
VF19A,Cantonese,k,eo5,47,FALSE,37,佢
VF19A,Cantonese,k,eo5,58,TRUE,28,佢
VF19A,Cantonese,k,eo5,80,TRUE,55,佢
VF19A,Cantonese,t,u1,66,FALSE,55,通常
VF19A,Cantonese,k,eo5,55,FALSE,47,佢
VF19A,Cantonese,k,eo5,67,FALSE,31,佢
VF19A,Cantonese,k,eo5,65,FALSE,30,佢
VF19A,Cantonese,t,u1,89,TRUE,58,通常
VF19A,Cantonese,k,eo5,58,FALSE,41,佢
VF19A,Cantonese,p,o2,75,TRUE,91,普通話
VF19A,Cantonese,k,eo5,110,TRUE,56,佢哋
VF19A,Cantonese,t,u1,42,FALSE,73,通常
VF19A,Cantonese,k,eo5,64,FALSE,56,佢
VF19A,Cantonese,k,eo5,59,FALSE,38,佢哋
VF19A,Cantonese,p,aa4,31,FALSE,53,排骨
VF19A,Cantonese,k,eo5,39,TRUE,25,佢
VF19A,Cantonese,t,a2,94,FALSE,43,睇
VF19A,Cantonese,t,aa3,81,TRUE,53,太
VF19A,Cantonese,t,u1,66,TRUE,63,通常
VF19A,Cantonese,k,eo5,49,FALSE,68,佢
VF19A,Cantonese,k,a4,52,FALSE,52,求
VF19A,Cantonese,k,a1,64,FALSE,70,溝通
VF19A,Cantonese,k,e4,32,TRUE,69,其他
VF19A,Cantonese,t,e1,91,FALSE,70,聽到
VF19A,Cantonese,t,e1,87,FALSE,88,聽得明
VF19A,Cantonese,p,a4,41,FALSE,74,朋友
VF19A,Cantonese,k,eo5,82,FALSE,54,佢哋
VF19A,Cantonese,t,e1,62,FALSE,68,聽唔到
VF19A,Cantonese,p,o2,60,TRUE,48,普通話
VF19A,Cantonese,t,e1,105,TRUE,60,聽得明
VF19A,Cantonese,t,u4,28,TRUE,52,同邊個
VF19A,Cantonese,p,aa3,48,FALSE,89,拍拖
VF19A,Cantonese,k,eo5,54,TRUE,123,佢哋
VF19A,Cantonese,k,eo5,73,TRUE,53,佢哋
VF19A,Cantonese,k,eo5,77,FALSE,49,佢哋
VF19A,Cantonese,t,aa3,54,FALSE,55,太好
VF19A,Cantonese,t,aa3,67,FALSE,54,太
VF19A,Cantonese,k,eo5,63,FALSE,33,佢
VF19A,Cantonese,k,aa3,70,FALSE,49,靠
VF19A,Cantonese,p,e3,48,FALSE,55,譬如
VF19A,Cantonese,t,u4,17,TRUE,101,同人
VF19A,Cantonese,k,eo5,26,FALSE,27,佢
VF19A,Cantonese,t,u4,47,TRUE,44,同埋
VF19A,Cantonese,t,u4,22,TRUE,27,同埋
VF19A,Cantonese,t,u4,34,TRUE,30,同埋
VF19A,Cantonese,t,a2,47,TRUE,159,睇
VF19A,Cantonese,t,u1,67,FALSE,77,通常
VF19A,Cantonese,k,e5,24,FALSE,52,企
VF19A,Cantonese,t,a2,52,FALSE,88,睇唔到
VF19A,Cantonese,k,aa3,25,TRUE,131,靠
VF19A,Cantonese,k,eo5,89,TRUE,81,佢
VF19A,Cantonese,k,eo5,86,FALSE,60,佢
VF19A,Cantonese,t,a2,37,FALSE,21,睇
VF19A,Cantonese,k,eo5,32,FALSE,22,佢
VF19A,Cantonese,t,u4,41,TRUE,37,同
VF19A,Cantonese,t,u4,23,TRUE,37,同
VF19A,Cantonese,t,u4,22,TRUE,64,同埋
VF19A,Cantonese,t,u4,19,FALSE,57,同學
VF19A,Cantonese,k,eo5,85,TRUE,36,佢
VF19A,Cantonese,k,eo5,84,TRUE,43,佢
VF19A,Cantonese,t,aa3,90,TRUE,65,太
VF19A,Cantonese,k,eo5,68,FALSE,31,佢
VF19A,Cantonese,t,u1,31,TRUE,78,通常
VF19A,Cantonese,t,u1,46,TRUE,68,通常
VF19A,Cantonese,k,e5,29,FALSE,37,企
VF19A,Cantonese,t,u4,49,TRUE,41,同埋
VF19A,Cantonese,k,eo5,39,FALSE,148,個
VF19A,Cantonese,t,u1,64,TRUE,79,通常
VF19A,Cantonese,k,a5,70,TRUE,87,近啲
VF19A,Cantonese,t,a2,106,FALSE,134,睇
VF19A,Cantonese,k,e4,25,FALSE,53,其實
VF19A,Cantonese,t,a2,55,TRUE,78,睇
VF19A,Cantonese,k,eo5,30,TRUE,59,佢
VF19A,Cantonese,k,eo5,42,FALSE,100,佢
